latitude,longitude,date,count
32.5,-117,1991-01-03,24
32.5,-117,1991-02-16,15
32.5,-117,1991-02-27,14
32.5,-117,1991-02-28,24
32.5,-117,1991-03-01,24
32.5,-117,1991-03-04,24
32.5,-117,1991-03-05,12
32.5,-117,1991-03-06,17
32.5,-117,1991-03-10,22
32.5,-117,1991-03-19,18
32.5,-117,1991-03-25,15
32.5,-117,1991-03-26,13
32.5,-117,1991-08-12,16
32.5,-117,1991-12-09,14
32.75,-117.25,1991-01-03,24
32.75,-117.25,1991-02-16,13
32.75,-117.25,1991-02-27,16
32.75,-117.25,1991-02-28,24
32.75,-117.25,1991-03-01,24
32.75,-117.25,1991-03-04,24
32.75,-117.25,1991-03-05,12
32.75,-117.25,1991-03-06,15
32.75,-117.25,1991-03-10,22
32.75,-117.25,1991-03-19,18
32.75,-117.25,1991-03-25,16
32.75,-117.25,1991-08-12,14
32.75,-117.25,1991-08-26,15
32.75,-117.25,1991-12-09,14
32.75,-117.25,1991-12-28,12
33,-117.25,1991-01-03,24
33,-117.25,1991-02-16,13
33,-117.25,1991-02-27,16
33,-117.25,1991-02-28,24
33,-117.25,1991-03-01,24
33,-117.25,1991-03-04,24
33,-117.25,1991-03-05,12
33,-117.25,1991-03-06,14
33,-117.25,1991-03-10,22
33,-117.25,1991-03-19,18
33,-117.25,1991-03-25,15
33,-117.25,1991-08-12,13
33,-117.25,1991-08-26,19
33,-117.25,1991-08-27,15
33,-117.25,1991-10-23,12
33.25,-117.5,1991-01-03,22
33.25,-117.5,1991-02-27,16
33.25,-117.5,1991-02-28,24
33.25,-117.5,1991-03-01,24
33.25,-117.5,1991-03-04,24
33.25,-117.5,1991-03-05,12
33.25,-117.5,1991-03-06,12
33.25,-117.5,1991-03-10,21
33.25,-117.5,1991-03-19,19
33.25,-117.5,1991-03-25,14
33.25,-117.5,1991-08-12,12
33.25,-117.5,1991-08-26,22
33.25,-117.5,1991-08-27,15
33.25,-117.5,1991-10-23,12
33.5,-117.75,1991-01-03,19
33.5,-117.75,1991-02-27,16
33.5,-117.75,1991-02-28,24
33.5,-117.75,1991-03-01,24
33.5,-117.75,1991-03-04,24
33.5,-117.75,1991-03-05,12
33.5,-117.75,1991-03-10,20
33.5,-117.75,1991-03-18,18
33.5,-117.75,1991-03-19,19
33.5,-117.75,1991-03-25,13
33.5,-117.75,1991-08-25,13
33.5,-117.75,1991-08-26,24
33.5,-117.75,1991-08-27,15
33.5,-117.75,1991-12-09,12
33.75,-118.25,1991-01-03,18
33.75,-118.25,1991-02-27,15
33.75,-118.25,1991-02-28,24
33.75,-118.25,1991-03-01,24
33.75,-118.25,1991-03-04,24
33.75,-118.25,1991-03-05,12
33.75,-118.25,1991-03-18,23
33.75,-118.25,1991-03-19,18
33.75,-118.25,1991-03-25,12
33.75,-118.25,1991-08-25,14
33.75,-118.25,1991-08-26,24
33.75,-118.25,1991-08-27,12
33.75,-118.25,1991-12-09,12
33.75,-118,1991-01-03,18
33.75,-118,1991-02-27,15
33.75,-118,1991-02-28,24
33.75,-118,1991-03-01,24
33.75,-118,1991-03-04,24
33.75,-118,1991-03-05,12
33.75,-118,1991-03-10,15
33.75,-118,1991-03-18,22
33.75,-118,1991-03-19,19
33.75,-118,1991-03-25,13
33.75,-118,1991-08-25,14
33.75,-118,1991-08-26,24
33.75,-118,1991-08-27,13
33.75,-118,1991-12-09,12
34,-119,1991-01-03,16
34,-119,1991-02-27,15
34,-119,1991-02-28,24
34,-119,1991-03-01,24
34,-119,1991-03-03,13
34,-119,1991-03-04,24
34,-119,1991-03-05,12
34,-119,1991-03-18,23
34,-119,1991-03-19,17
34,-119,1991-08-25,14
34,-119,1991-08-26,21
34,-119,1991-12-09,12
34,-119,1991-12-10,14
34,-119,1991-12-29,13
34,-118.75,1991-01-03,16
34,-118.75,1991-02-27,15
34,-118.75,1991-02-28,24
34,-118.75,1991-03-01,24
34,-118.75,1991-03-03,12
34,-118.75,1991-03-04,24
34,-118.75,1991-03-05,12
34,-118.75,1991-03-18,23
34,-118.75,1991-03-19,18
34,-118.75,1991-08-25,14
34,-118.75,1991-08-26,24
34,-118.75,1991-12-09,12
34,-118.75,1991-12-10,13
34,-118.75,1991-12-29,13
34,-118.5,1991-01-03,16
34,-118.5,1991-02-27,15
34,-118.5,1991-02-28,24
34,-118.5,1991-03-01,24
34,-118.5,1991-03-03,12
34,-118.5,1991-03-04,24
34,-118.5,1991-03-05,12
34,-118.5,1991-03-18,23
34,-118.5,1991-03-19,18
34,-118.5,1991-03-25,12
34,-118.5,1991-08-25,14
34,-118.5,1991-08-26,24
34,-118.5,1991-12-10,12
34,-118.5,1991-12-29,12
34.25,-119.25,1991-01-03,15
34.25,-119.25,1991-01-04,12
34.25,-119.25,1991-02-27,16
34.25,-119.25,1991-02-28,24
34.25,-119.25,1991-03-01,24
34.25,-119.25,1991-03-03,17
34.25,-119.25,1991-03-04,24
34.25,-119.25,1991-03-05,12
34.25,-119.25,1991-03-18,23
34.25,-119.25,1991-03-19,16
34.25,-119.25,1991-08-25,14
34.25,-119.25,1991-08-26,20
34.25,-119.25,1991-12-09,12
34.25,-119.25,1991-12-29,15
34.5,-120.5,1991-02-17,15
34.5,-120.5,1991-02-18,14
34.5,-120.5,1991-02-27,17
34.5,-120.5,1991-02-28,22
34.5,-120.5,1991-03-01,24
34.5,-120.5,1991-03-03,16
34.5,-120.5,1991-03-04,24
34.5,-120.5,1991-03-05,12
34.5,-120.5,1991-03-17,18
34.5,-120.5,1991-03-18,22
34.5,-120.5,1991-03-19,12
34.5,-120.5,1991-08-12,19
34.5,-120.5,1991-12-27,12
34.5,-120.5,1991-12-29,19
34.5,-120.25,1991-02-17,15
34.5,-120.25,1991-02-18,12
34.5,-120.25,1991-02-27,17
34.5,-120.25,1991-02-28,24
34.5,-120.25,1991-03-01,24
34.5,-120.25,1991-03-03,15
34.5,-120.25,1991-03-04,24
34.5,-120.25,1991-03-05,12
34.5,-120.25,1991-03-17,17
34.5,-120.25,1991-03-18,23
34.5,-120.25,1991-03-19,12
34.5,-120.25,1991-08-12,19
34.5,-120.25,1991-08-25,12
34.5,-120.25,1991-12-29,19
34.5,-120,1991-01-03,13
34.5,-120,1991-02-17,15
34.5,-120,1991-02-27,17
34.5,-120,1991-02-28,24
34.5,-120,1991-03-01,24
34.5,-120,1991-03-03,15
34.5,-120,1991-03-04,24
34.5,-120,1991-03-05,12
34.5,-120,1991-03-17,17
34.5,-120,1991-03-18,23
34.5,-120,1991-03-19,13
34.5,-120,1991-08-12,19
34.5,-120,1991-08-25,15
34.5,-120,1991-12-29,18
34.5,-119.75,1991-01-03,14
34.5,-119.75,1991-02-17,15
34.5,-119.75,1991-02-27,16
34.5,-119.75,1991-02-28,24
34.5,-119.75,1991-03-01,24
34.5,-119.75,1991-03-03,15
34.5,-119.75,1991-03-04,24
34.5,-119.75,1991-03-05,12
34.5,-119.75,1991-03-17,15
34.5,-119.75,1991-03-18,23
34.5,-119.75,1991-03-19,14
34.5,-119.75,1991-08-25,16
34.5,-119.75,1991-12-29,18
34.5,-119.5,1991-01-03,15
34.5,-119.5,1991-01-04,12
34.5,-119.5,1991-02-27,16
34.5,-119.5,1991-02-28,24
34.5,-119.5,1991-03-01,24
34.5,-119.5,1991-03-03,18
34.5,-119.5,1991-03-04,24
34.5,-119.5,1991-03-05,12
34.5,-119.5,1991-03-17,12
34.5,-119.5,1991-03-18,23
34.5,-119.5,1991-03-19,13
34.5,-119.5,1991-08-25,14
34.5,-119.5,1991-08-26,22
34.5,-119.5,1991-11-17,12
34.5,-119.5,1991-12-09,12
34.5,-119.5,1991-12-29,16
34.75,-120.5,1991-02-17,15
34.75,-120.5,1991-02-18,12
34.75,-120.5,1991-02-27,17
34.75,-120.5,1991-02-28,24
34.75,-120.5,1991-03-01,24
34.75,-120.5,1991-03-03,16
34.75,-120.5,1991-03-04,24
34.75,-120.5,1991-03-17,19
34.75,-120.5,1991-03-18,23
34.75,-120.5,1991-08-12,19
34.75,-120.5,1991-08-25,12
34.75,-120.5,1991-12-27,12
34.75,-120.5,1991-12-29,20
35,-120.5,1991-02-17,15
35,-120.5,1991-02-27,17
35,-120.5,1991-02-28,24
35,-120.5,1991-03-01,24
35,-120.5,1991-03-03,18
35,-120.5,1991-03-04,24
35,-120.5,1991-03-17,19
35,-120.5,1991-03-18,23
35,-120.5,1991-08-12,19
35,-120.5,1991-08-25,14
35,-120.5,1991-12-29,21
35.25,-120.75,1991-02-17,13
35.25,-120.75,1991-02-27,17
35.25,-120.75,1991-02-28,24
35.25,-120.75,1991-03-01,24
35.25,-120.75,1991-03-03,21
35.25,-120.75,1991-03-04,24
35.25,-120.75,1991-03-17,20
35.25,-120.75,1991-03-18,16
35.25,-120.75,1991-03-24,13
35.25,-120.75,1991-08-12,19
35.25,-120.75,1991-08-25,13
35.25,-120.75,1991-12-27,12
35.25,-120.75,1991-12-29,22
35.5,-121,1991-02-17,13
35.5,-121,1991-02-27,17
35.5,-121,1991-02-28,24
35.5,-121,1991-03-01,24
35.5,-121,1991-03-03,24
35.5,-121,1991-03-04,24
35.5,-121,1991-03-17,21
35.5,-121,1991-03-24,14
35.5,-121,1991-08-12,19
35.5,-121,1991-11-17,12
35.5,-121,1991-12-27,13
35.5,-121,1991-12-29,22
35.75,-121.25,1991-02-17,15
35.75,-121.25,1991-02-27,17
35.75,-121.25,1991-02-28,24
35.75,-121.25,1991-03-01,24
35.75,-121.25,1991-03-03,24
35.75,-121.25,1991-03-04,24
35.75,-121.25,1991-03-17,21
35.75,-121.25,1991-03-24,14
35.75,-121.25,1991-08-12,19
35.75,-121.25,1991-11-17,13
35.75,-121.25,1991-12-27,13
35.75,-121.25,1991-12-29,21
36,-121.5,1991-02-02,13
36,-121.5,1991-02-17,15
36,-121.5,1991-02-18,17
36,-121.5,1991-02-27,17
36,-121.5,1991-02-28,21
36,-121.5,1991-03-01,24
36,-121.5,1991-03-03,24
36,-121.5,1991-03-04,24
36,-121.5,1991-03-17,22
36,-121.5,1991-03-24,14
36,-121.5,1991-08-12,18
36,-121.5,1991-11-17,13
36,-121.5,1991-12-27,17
36,-121.5,1991-12-29,18
36.25,-121.75,1991-02-02,15
36.25,-121.75,1991-02-17,15
36.25,-121.75,1991-02-18,17
36.25,-121.75,1991-02-27,17
36.25,-121.75,1991-02-28,20
36.25,-121.75,1991-03-01,24
36.25,-121.75,1991-03-03,24
36.25,-121.75,1991-03-04,24
36.25,-121.75,1991-03-17,22
36.25,-121.75,1991-03-24,14
36.25,-121.75,1991-08-12,17
36.25,-121.75,1991-11-17,14
36.25,-121.75,1991-12-27,20
36.25,-121.75,1991-12-29,16
36.5,-122,1991-02-02,18
36.5,-122,1991-02-17,15
36.5,-122,1991-02-18,17
36.5,-122,1991-02-27,17
36.5,-122,1991-02-28,19
36.5,-122,1991-03-01,24
36.5,-122,1991-03-02,13
36.5,-122,1991-03-03,24
36.5,-122,1991-03-04,24
36.5,-122,1991-03-17,23
36.5,-122,1991-03-24,14
36.5,-122,1991-08-12,13
36.5,-122,1991-11-17,15
36.5,-122,1991-12-27,24
36.5,-122,1991-12-29,14
36.75,-121.75,1991-02-02,17
36.75,-121.75,1991-02-18,12
36.75,-121.75,1991-02-27,15
36.75,-121.75,1991-02-28,15
36.75,-121.75,1991-03-01,24
36.75,-121.75,1991-03-02,16
36.75,-121.75,1991-03-03,24
36.75,-121.75,1991-03-04,24
36.75,-121.75,1991-03-17,22
36.75,-121.75,1991-03-24,14
36.75,-121.75,1991-11-17,15
36.75,-121.75,1991-12-27,15
36.75,-121.75,1991-12-29,14
37,-122.25,1991-02-02,21
37,-122.25,1991-02-17,15
37,-122.25,1991-02-18,17
37,-122.25,1991-02-27,16
37,-122.25,1991-03-01,23
37,-122.25,1991-03-02,15
37,-122.25,1991-03-03,24
37,-122.25,1991-03-04,24
37,-122.25,1991-03-17,23
37,-122.25,1991-03-24,12
37,-122.25,1991-11-17,15
37,-122.25,1991-12-27,24
37,-122.25,1991-12-29,12
37,-122,1991-02-02,19
37,-122,1991-02-18,17
37,-122,1991-02-27,15
37,-122,1991-02-28,13
37,-122,1991-03-01,24
37,-122,1991-03-02,17
37,-122,1991-03-03,24
37,-122,1991-03-04,24
37,-122,1991-03-17,23
37,-122,1991-03-24,13
37,-122,1991-11-17,15
37,-122,1991-12-27,22
37,-122,1991-12-29,13
37.25,-122.5,1991-02-02,22
37.25,-122.5,1991-02-17,16
37.25,-122.5,1991-02-18,17
37.25,-122.5,1991-02-27,16
37.25,-122.5,1991-03-01,21
37.25,-122.5,1991-03-02,15
37.25,-122.5,1991-03-03,24
37.25,-122.5,1991-03-04,24
37.25,-122.5,1991-03-17,22
37.25,-122.5,1991-08-07,13
37.25,-122.5,1991-11-17,16
37.25,-122.5,1991-12-27,24
37.5,-122.5,1991-02-02,22
37.5,-122.5,1991-02-18,16
37.5,-122.5,1991-02-27,15
37.5,-122.5,1991-03-01,21
37.5,-122.5,1991-03-02,15
37.5,-122.5,1991-03-03,24
37.5,-122.5,1991-03-04,24
37.5,-122.5,1991-03-17,23
37.5,-122.5,1991-08-07,17
37.5,-122.5,1991-08-25,14
37.5,-122.5,1991-08-28,14
37.5,-122.5,1991-11-17,16
37.5,-122.5,1991-12-27,24
37.75,-122.5,1991-02-02,22
37.75,-122.5,1991-02-27,14
37.75,-122.5,1991-03-01,20
37.75,-122.5,1991-03-02,17
37.75,-122.5,1991-03-03,24
37.75,-122.5,1991-03-04,24
37.75,-122.5,1991-03-17,23
37.75,-122.5,1991-04-06,12
37.75,-122.5,1991-08-07,21
37.75,-122.5,1991-08-25,17
37.75,-122.5,1991-08-28,16
37.75,-122.5,1991-11-17,16
37.75,-122.5,1991-12-27,24
38,-122.75,1991-02-02,22
38,-122.75,1991-02-27,14
38,-122.75,1991-03-01,12
38,-122.75,1991-03-02,17
38,-122.75,1991-03-03,24
38,-122.75,1991-03-04,24
38,-122.75,1991-03-17,22
38,-122.75,1991-04-06,12
38,-122.75,1991-08-07,21
38,-122.75,1991-08-25,16
38,-122.75,1991-08-28,17
38,-122.75,1991-11-17,16
38,-122.75,1991-12-27,24
38.25,-123,1991-02-02,22
38.25,-123,1991-02-17,15
38.25,-123,1991-02-27,13
38.25,-123,1991-03-02,16
38.25,-123,1991-03-03,24
