latitude,longitude,date,count
32.5,-117,1990-02-12,12
32.5,-117,1990-02-17,14
32.5,-117,1990-03-03,23
32.5,-117,1990-04-17,12
32.5,-117,1990-05-22,24
32.5,-117,1990-05-23,24
32.5,-117,1990-05-28,15
32.5,-117,1990-06-09,13
32.5,-117,1990-06-23,12
32.5,-117,1990-07-03,12
32.5,-117,1990-08-06,17
32.5,-117,1990-10-01,12
32.5,-117,1990-11-01,12
32.5,-117,1990-11-20,19
32.5,-117,1990-12-12,15
32.75,-117.25,1990-01-13,15
32.75,-117.25,1990-02-12,12
32.75,-117.25,1990-02-17,17
32.75,-117.25,1990-03-03,23
32.75,-117.25,1990-03-11,12
32.75,-117.25,1990-05-22,24
32.75,-117.25,1990-05-23,24
32.75,-117.25,1990-05-28,14
32.75,-117.25,1990-06-09,13
32.75,-117.25,1990-06-23,12
32.75,-117.25,1990-07-02,15
32.75,-117.25,1990-07-03,15
32.75,-117.25,1990-08-06,17
32.75,-117.25,1990-09-21,16
32.75,-117.25,1990-10-01,12
32.75,-117.25,1990-10-18,13
32.75,-117.25,1990-11-01,13
32.75,-117.25,1990-11-20,18
32.75,-117.25,1990-12-12,12
33,-117.25,1990-01-13,16
33,-117.25,1990-02-12,12
33,-117.25,1990-02-17,18
33,-117.25,1990-03-03,23
33,-117.25,1990-05-22,24
33,-117.25,1990-05-23,24
33,-117.25,1990-05-28,14
33,-117.25,1990-06-09,13
33,-117.25,1990-06-23,12
33,-117.25,1990-07-02,16
33,-117.25,1990-07-03,15
33,-117.25,1990-08-06,17
33,-117.25,1990-09-21,13
33,-117.25,1990-10-01,12
33,-117.25,1990-10-18,14
33,-117.25,1990-11-01,12
33,-117.25,1990-11-17,12
33,-117.25,1990-11-20,18
33.25,-117.5,1990-01-13,18
33.25,-117.5,1990-02-12,12
33.25,-117.5,1990-02-17,19
33.25,-117.5,1990-03-02,14
33.25,-117.5,1990-03-03,23
33.25,-117.5,1990-05-22,24
33.25,-117.5,1990-05-23,24
33.25,-117.5,1990-05-26,12
33.25,-117.5,1990-05-28,13
33.25,-117.5,1990-06-09,13
33.25,-117.5,1990-07-02,17
33.25,-117.5,1990-07-03,15
33.25,-117.5,1990-08-06,17
33.25,-117.5,1990-08-19,14
33.25,-117.5,1990-09-21,14
33.25,-117.5,1990-10-01,12
33.25,-117.5,1990-10-18,14
