latitude,longitude,date,count
32.5,-117,1996-01-31,22
32.5,-117,1996-02-12,23
32.5,-117,1996-02-18,18
32.5,-117,1996-02-19,24
32.5,-117,1996-02-20,24
32.5,-117,1996-02-21,24
32.5,-117,1996-02-22,14
32.5,-117,1996-03-05,24
32.5,-117,1996-04-17,14
32.5,-117,1996-05-15,20
32.5,-117,1996-05-16,24
32.5,-117,1996-05-17,24
32.5,-117,1996-05-18,24
32.5,-117,1996-05-19,24
32.5,-117,1996-05-22,15
32.5,-117,1996-06-26,14
32.5,-117,1996-11-16,14
32.5,-117,1996-11-17,14
32.5,-117,1996-11-21,24
32.5,-117,1996-11-22,18
32.5,-117,1996-12-09,13
32.5,-117,1996-12-10,24
32.5,-117,1996-12-11,16
32.5,-117,1996-12-27,14
32.5,-117,1996-12-30,14
32.5,-117,1996-12-31,24
32.75,-117.25,1996-01-31,22
32.75,-117.25,1996-02-12,23
32.75,-117.25,1996-02-18,20
32.75,-117.25,1996-02-19,24
32.75,-117.25,1996-02-20,24
32.75,-117.25,1996-02-21,24
32.75,-117.25,1996-02-22,13
32.75,-117.25,1996-03-05,24
32.75,-117.25,1996-04-17,14
32.75,-117.25,1996-05-14,12
32.75,-117.25,1996-05-15,20
32.75,-117.25,1996-05-16,24
32.75,-117.25,1996-05-17,24
32.75,-117.25,1996-05-18,24
32.75,-117.25,1996-05-19,24
32.75,-117.25,1996-05-22,15
32.75,-117.25,1996-06-26,14
32.75,-117.25,1996-11-16,14
32.75,-117.25,1996-11-17,17
32.75,-117.25,1996-11-20,12
32.75,-117.25,1996-11-21,24
32.75,-117.25,1996-11-22,18
32.75,-117.25,1996-12-09,13
32.75,-117.25,1996-12-10,24
32.75,-117.25,1996-12-11,16
32.75,-117.25,1996-12-27,16
32.75,-117.25,1996-12-30,15
32.75,-117.25,1996-12-31,24
33,-117.25,1996-01-31,22
33,-117.25,1996-02-05,12
33,-117.25,1996-02-12,23
33,-117.25,1996-02-18,21
33,-117.25,1996-02-19,24
33,-117.25,1996-02-20,24
33,-117.25,1996-02-21,24
33,-117.25,1996-02-22,12
33,-117.25,1996-03-05,24
33,-117.25,1996-04-17,15
33,-117.25,1996-05-14,12
33,-117.25,1996-05-15,20
33,-117.25,1996-05-16,24
33,-117.25,1996-05-17,24
33,-117.25,1996-05-18,24
33,-117.25,1996-05-19,24
33,-117.25,1996-05-22,13
33,-117.25,1996-06-26,16
33,-117.25,1996-11-17,20
33,-117.25,1996-11-20,15
33,-117.25,1996-11-21,24
33,-117.25,1996-11-22,20
33,-117.25,1996-12-09,15
33,-117.25,1996-12-10,24
33,-117.25,1996-12-11,16
33,-117.25,1996-12-27,19
33,-117.25,1996-12-30,18
33,-117.25,1996-12-31,24
33.25,-117.5,1996-01-18,12
33.25,-117.5,1996-01-31,22
33.25,-117.5,1996-02-05,14
33.25,-117.5,1996-02-12,23
33.25,-117.5,1996-02-18,21
33.25,-117.5,1996-02-19,24
33.25,-117.5,1996-02-20,24
