latitude,longitude,date,count
32.5,-117,1989-01-04,12
32.5,-117,1989-02-08,24
32.5,-117,1989-02-09,17
32.5,-117,1989-03-02,23
32.5,-117,1989-03-03,16
32.5,-117,1989-03-05,13
32.5,-117,1989-03-12,13
32.5,-117,1989-05-10,14
32.5,-117,1989-06-20,16
32.5,-117,1989-06-27,14
32.5,-117,1989-07-20,16
32.5,-117,1989-07-21,15
32.5,-117,1989-08-05,13
32.5,-117,1989-08-08,17
32.5,-117,1989-08-09,16
32.5,-117,1989-09-07,13
32.5,-117,1989-09-16,21
32.5,-117,1989-09-17,21
32.5,-117,1989-09-18,22
32.5,-117,1989-10-21,20
32.5,-117,1989-10-22,17
32.5,-117,1989-11-26,19
32.75,-117.25,1989-02-08,20
32.75,-117.25,1989-02-09,16
32.75,-117.25,1989-03-02,23
32.75,-117.25,1989-03-03,16
32.75,-117.25,1989-03-05,15
32.75,-117.25,1989-03-12,13
32.75,-117.25,1989-05-10,16
32.75,-117.25,1989-06-20,19
32.75,-117.25,1989-07-20,16
32.75,-117.25,1989-07-21,17
32.75,-117.25,1989-08-05,13
32.75,-117.25,1989-08-08,17
32.75,-117.25,1989-08-09,14
32.75,-117.25,1989-08-10,13
32.75,-117.25,1989-09-07,13
32.75,-117.25,1989-09-16,17
32.75,-117.25,1989-09-17,23
32.75,-117.25,1989-09-18,22
32.75,-117.25,1989-10-21,20
32.75,-117.25,1989-11-26,20
33,-117.25,1989-02-03,12
33,-117.25,1989-02-08,19
33,-117.25,1989-02-09,16
33,-117.25,1989-03-02,23
33,-117.25,1989-03-03,16
33,-117.25,1989-03-05,14
33,-117.25,1989-03-12,13
33,-117.25,1989-05-10,16
33,-117.25,1989-06-20,20
33,-117.25,1989-07-20,16
33,-117.25,1989-07-21,15
33,-117.25,1989-08-05,13
33,-117.25,1989-08-08,17
33,-117.25,1989-08-09,17
33,-117.25,1989-08-10,14
33,-117.25,1989-09-07,13
33,-117.25,1989-09-16,16
33,-117.25,1989-09-17,24
33,-117.25,1989-09-18,21
33,-117.25,1989-10-21,20
33,-117.25,1989-11-26,20
33.25,-117.5,1989-02-03,14
33.25,-117.5,1989-02-08,18
33.25,-117.5,1989-02-09,15
33.25,-117.5,1989-03-02,23
33.25,-117.5,1989-03-03,14
33.25,-117.5,1989-03-05,15
33.25,-117.5,1989-03-11,14
33.25,-117.5,1989-03-12,13
33.25,-117.5,1989-05-10,16
33.25,-117.5,1989-07-20,16
33.25,-117.5,1989-07-21,17
33.25,-117.5,1989-08-05,13
33.25,-117.5,1989-08-08,17
33.25,-117.5,1989-08-09,17
33.25,-117.5,1989-08-10,15
33.25,-117.5,1989-09-07,13
33.25,-117.5,1989-09-16,16
33.25,-117.5,1989-09-17,24
33.25,-117.5,1989-09-18,19
33.25,-117.5,1989-09-26,17
33.25,-117.5,1989-10-21,20
33.25,-117.5,1989-11-26,19
33.5,-117.75,1989-02-03,17
33.5,-117.75,1989-02-08,17
33.5,-117.75,1989-02-09,15
33.5,-117.75,1989-03-02,24
33.5,-117.75,1989-03-03,13
33.5,-117.75,1989-03-05,16
33.5,-117.75,1989-03-07,15
33.5,-117.75,1989-03-08,13
33.5,-117.75,1989-03-11,16
33.5,-117.75,1989-03-12,13
33.5,-117.75,1989-05-10,16
33.5,-117.75,1989-05-23,14
33.5,-117.75,1989-07-20,16
33.5,-117.75,1989-07-21,17
33.5,-117.75,1989-08-05,13
33.5,-117.75,1989-08-08,17
33.5,-117.75,1989-08-09,17
33.5,-117.75,1989-08-10,17
33.5,-117.75,1989-09-07,13
33.5,-117.75,1989-09-16,15
33.5,-117.75,1989-09-17,24
33.5,-117.75,1989-09-18,18
33.5,-117.75,1989-09-26,18
33.5,-117.75,1989-10-21,20
33.5,-117.75,1989-11-26,17
33.75,-118.25,1989-02-03,17
33.75,-118.25,1989-02-08,16
33.75,-118.25,1989-02-09,16
33.75,-118.25,1989-03-02,22
33.75,-118.25,1989-03-03,12
33.75,-118.25,1989-03-05,17
33.75,-118.25,1989-03-07,18
33.75,-118.25,1989-03-08,17
33.75,-118.25,1989-03-09,22
33.75,-118.25,1989-03-11,18
33.75,-118.25,1989-03-12,13
33.75,-118.25,1989-05-10,15
33.75,-118.25,1989-05-23,19
33.75,-118.25,1989-07-20,16
33.75,-118.25,1989-07-21,17
33.75,-118.25,1989-08-05,13
33.75,-118.25,1989-08-08,17
33.75,-118.25,1989-08-09,18
33.75,-118.25,1989-08-10,17
33.75,-118.25,1989-09-07,12
33.75,-118.25,1989-09-16,15
33.75,-118.25,1989-09-17,23
33.75,-118.25,1989-09-18,15
33.75,-118.25,1989-09-26,19
33.75,-118.25,1989-10-21,19
33.75,-118.25,1989-11-26,16
33.75,-118,1989-02-03,17
33.75,-118,1989-02-08,16
33.75,-118,1989-02-09,16
33.75,-118,1989-03-02,24
33.75,-118,1989-03-03,12
33.75,-118,1989-03-05,16
33.75,-118,1989-03-07,17
33.75,-118,1989-03-08,16
33.75,-118,1989-03-09,12
33.75,-118,1989-03-11,18
33.75,-118,1989-03-12,13
33.75,-118,1989-05-10,16
33.75,-118,1989-05-23,18
33.75,-118,1989-07-20,16
33.75,-118,1989-07-21,17
33.75,-118,1989-08-05,13
33.75,-118,1989-08-08,17
33.75,-118,1989-08-09,18
33.75,-118,1989-08-10,17
33.75,-118,1989-09-07,13
33.75,-118,1989-09-16,15
33.75,-118,1989-09-17,24
33.75,-118,1989-09-18,17
33.75,-118,1989-09-26,19
33.75,-118,1989-10-21,20
33.75,-118,1989-11-26,17
34,-119,1989-02-03,17
34,-119,1989-02-08,15
34,-119,1989-02-09,13
34,-119,1989-03-02,23
34,-119,1989-03-05,17
34,-119,1989-03-07,24
34,-119,1989-03-08,18
34,-119,1989-03-09,24
34,-119,1989-03-11,18
34,-119,1989-03-12,13
34,-119,1989-05-10,14
34,-119,1989-05-23,23
34,-119,1989-07-20,15
34,-119,1989-07-21,16
34,-119,1989-08-05,12
34,-119,1989-08-08,17
34,-119,1989-08-09,17
34,-119,1989-08-10,15
34,-119,1989-09-16,15
34,-119,1989-09-17,21
34,-119,1989-09-26,15
34,-119,1989-10-21,18
34,-119,1989-10-24,12
34,-119,1989-11-26,15
34,-118.75,1989-02-03,17
34,-118.75,1989-02-08,15
34,-118.75,1989-02-09,13
34,-118.75,1989-03-02,22
34,-118.75,1989-03-05,17
34,-118.75,1989-03-07,23
34,-118.75,1989-03-08,19
34,-118.75,1989-03-09,24
34,-118.75,1989-03-11,18
34,-118.75,1989-03-12,13
34,-118.75,1989-05-10,14
34,-118.75,1989-05-23,23
34,-118.75,1989-07-20,16
34,-118.75,1989-07-21,17
34,-118.75,1989-08-05,13
34,-118.75,1989-08-08,17
34,-118.75,1989-08-09,18
34,-118.75,1989-08-10,17
34,-118.75,1989-09-16,15
34,-118.75,1989-09-17,21
34,-118.75,1989-09-18,12
34,-118.75,1989-09-26,20
34,-118.75,1989-10-21,18
34,-118.75,1989-10-24,12
34,-118.75,1989-11-26,15
34,-118.5,1989-02-03,17
34,-118.5,1989-02-08,15
34,-118.5,1989-02-09,15
34,-118.5,1989-03-02,22
34,-118.5,1989-03-05,20
34,-118.5,1989-03-07,19
34,-118.5,1989-03-08,18
34,-118.5,1989-03-09,24
34,-118.5,1989-03-11,18
34,-118.5,1989-03-12,13
34,-118.5,1989-05-10,14
34,-118.5,1989-05-23,23
34,-118.5,1989-07-20,16
34,-118.5,1989-07-21,17
34,-118.5,1989-08-05,13
34,-118.5,1989-08-08,17
34,-118.5,1989-08-09,19
34,-118.5,1989-08-10,17
34,-118.5,1989-09-16,15
34,-118.5,1989-09-17,21
34,-118.5,1989-09-18,13
34,-118.5,1989-09-26,20
34,-118.5,1989-10-21,19
34,-118.5,1989-11-26,15
34.25,-119.25,1989-02-03,17
34.25,-119.25,1989-02-08,15
34.25,-119.25,1989-02-09,12
34.25,-119.25,1989-03-02,21
34.25,-119.25,1989-03-05,18
34.25,-119.25,1989-03-07,24
34.25,-119.25,1989-03-08,24
34.25,-119.25,1989-03-09,24
34.25,-119.25,1989-03-11,19
34.25,-119.25,1989-03-12,13
34.25,-119.25,1989-05-10,13
34.25,-119.25,1989-05-23,23
34.25,-119.25,1989-07-20,13
34.25,-119.25,1989-07-21,16
34.25,-119.25,1989-08-08,17
34.25,-119.25,1989-08-09,17
34.25,-119.25,1989-08-10,15
34.25,-119.25,1989-09-16,15
34.25,-119.25,1989-09-17,18
34.25,-119.25,1989-09-26,16
34.25,-119.25,1989-10-21,17
34.25,-119.25,1989-10-24,12
34.25,-119.25,1989-11-26,14
34.5,-120.5,1989-02-03,17
34.5,-120.5,1989-02-08,15
34.5,-120.5,1989-03-02,22
34.5,-120.5,1989-03-05,19
34.5,-120.5,1989-03-07,24
34.5,-120.5,1989-03-08,24
34.5,-120.5,1989-03-09,24
34.5,-120.5,1989-03-11,18
34.5,-120.5,1989-05-23,22
34.5,-120.5,1989-06-16,13
34.5,-120.5,1989-08-08,16
34.5,-120.5,1989-09-16,14
34.5,-120.5,1989-09-17,13
