latitude,longitude,date,count
32.5,-117,2012-01-21,14
32.5,-117,2012-01-23,16
32.5,-117,2012-03-17,18
32.5,-117,2012-03-18,15
32.5,-117,2012-04-11,13
32.5,-117,2012-04-25,24
32.5,-117,2012-04-26,18
32.5,-117,2012-09-02,16
32.5,-117,2012-09-09,12
32.5,-117,2012-09-10,13
32.5,-117,2012-10-22,18
32.5,-117,2012-10-23,15
32.5,-117,2012-11-09,23
32.5,-117,2012-11-16,20
32.5,-117,2012-11-29,13
32.5,-117,2012-12-13,12
32.5,-117,2012-12-18,12
32.75,-117.25,2012-01-21,15
32.75,-117.25,2012-01-23,16
32.75,-117.25,2012-03-17,19
32.75,-117.25,2012-03-18,13
32.75,-117.25,2012-04-25,24
32.75,-117.25,2012-04-26,16
32.75,-117.25,2012-07-19,13
32.75,-117.25,2012-09-02,16
32.75,-117.25,2012-09-09,12
32.75,-117.25,2012-09-10,14
32.75,-117.25,2012-10-22,19
32.75,-117.25,2012-10-23,14
32.75,-117.25,2012-11-09,22
32.75,-117.25,2012-11-16,19
32.75,-117.25,2012-11-29,15
32.75,-117.25,2012-12-18,12
33,-117.25,2012-01-21,15
33,-117.25,2012-01-23,17
33,-117.25,2012-03-17,19
33,-117.25,2012-04-11,15
33,-117.25,2012-04-25,24
33,-117.25,2012-04-26,15
33,-117.25,2012-08-17,13
33,-117.25,2012-09-02,16
33,-117.25,2012-09-09,12
33,-117.25,2012-09-10,12
33,-117.25,2012-10-22,18
33,-117.25,2012-10-23,12
33,-117.25,2012-11-09,22
33,-117.25,2012-11-16,20
33,-117.25,2012-11-29,16
33,-117.25,2012-12-02,13
33,-117.25,2012-12-18,12
33.25,-117.5,2012-01-21,18
33.25,-117.5,2012-01-23,18
33.25,-117.5,2012-03-17,18
33.25,-117.5,2012-04-11,15
33.25,-117.5,2012-04-25,24
33.25,-117.5,2012-04-26,13
33.25,-117.5,2012-07-13,19
33.25,-117.5,2012-07-19,13
33.25,-117.5,2012-09-09,12
33.25,-117.5,2012-10-22,19
33.25,-117.5,2012-10-24,13
33.25,-117.5,2012-10-25,14
33.25,-117.5,2012-11-09,21
33.25,-117.5,2012-11-16,21
33.25,-117.5,2012-11-17,12
33.25,-117.5,2012-11-29,20
33.25,-117.5,2012-11-30,14
33.25,-117.5,2012-12-02,18
33.25,-117.5,2012-12-18,12
33.5,-117.75,2012-01-21,18
33.5,-117.75,2012-01-23,19
33.5,-117.75,2012-03-17,18
33.5,-117.75,2012-04-11,15
33.5,-117.75,2012-04-25,24
33.5,-117.75,2012-04-26,12
33.5,-117.75,2012-07-13,20
33.5,-117.75,2012-07-19,13
33.5,-117.75,2012-09-01,12
33.5,-117.75,2012-09-06,15
33.5,-117.75,2012-09-09,12
33.5,-117.75,2012-10-22,18
33.5,-117.75,2012-10-24,14
33.5,-117.75,2012-10-25,16
33.5,-117.75,2012-11-09,19
33.5,-117.75,2012-11-16,21
33.5,-117.75,2012-11-17,14
33.5,-117.75,2012-11-29,18
33.5,-117.75,2012-11-30,17
33.5,-117.75,2012-12-02,24
33.5,-117.75,2012-12-13,12
33.75,-118.25,2012-01-21,18
33.75,-118.25,2012-01-23,19
33.75,-118.25,2012-03-17,19
33.75,-118.25,2012-04-11,14
33.75,-118.25,2012-04-25,24
33.75,-118.25,2012-04-26,12
33.75,-118.25,2012-07-13,20
33.75,-118.25,2012-07-19,13
33.75,-118.25,2012-07-23,14
33.75,-118.25,2012-09-01,12
33.75,-118.25,2012-09-06,18
33.75,-118.25,2012-10-22,18
33.75,-118.25,2012-10-24,17
33.75,-118.25,2012-10-25,19
33.75,-118.25,2012-11-09,16
33.75,-118.25,2012-11-16,21
33.75,-118.25,2012-11-17,16
33.75,-118.25,2012-11-29,22
33.75,-118.25,2012-11-30,21
33.75,-118.25,2012-12-02,24
33.75,-118,2012-01-21,18
33.75,-118,2012-01-23,19
33.75,-118,2012-03-17,19
33.75,-118,2012-04-11,15
33.75,-118,2012-04-25,24
33.75,-118,2012-07-13,20
33.75,-118,2012-07-19,13
33.75,-118,2012-09-01,12
33.75,-118,2012-09-06,18
33.75,-118,2012-10-22,18
33.75,-118,2012-10-24,17
33.75,-118,2012-10-25,18
33.75,-118,2012-11-09,17
33.75,-118,2012-11-16,22
33.75,-118,2012-11-17,15
33.75,-118,2012-11-29,21
33.75,-118,2012-11-30,20
33.75,-118,2012-12-01,12
33.75,-118,2012-12-02,24
34,-119,2012-01-21,19
34,-119,2012-01-23,20
34,-119,2012-03-17,22
34,-119,2012-03-25,14
34,-119,2012-03-28,12
34,-119,2012-04-11,14
34,-119,2012-04-25,19
34,-119,2012-04-26,14
34,-119,2012-07-13,20
34,-119,2012-07-23,13
34,-119,2012-09-06,18
34,-119,2012-10-22,17
34,-119,2012-10-23,12
34,-119,2012-10-24,18
34,-119,2012-10-25,18
34,-119,2012-11-09,13
34,-119,2012-11-16,23
34,-119,2012-11-17,14
34,-119,2012-11-29,15
34,-119,2012-11-30,22
34,-119,2012-12-01,13
34,-119,2012-12-02,22
34,-118.75,2012-01-21,17
34,-118.75,2012-01-23,20
34,-118.75,2012-03-17,20
34,-118.75,2012-03-25,12
34,-118.75,2012-04-11,14
34,-118.75,2012-04-25,24
34,-118.75,2012-04-26,14
34,-118.75,2012-07-13,20
34,-118.75,2012-07-23,14
34,-118.75,2012-09-06,18
34,-118.75,2012-10-22,17
34,-118.75,2012-10-23,12
