latitude,longitude,date,count
32.5,-117,1982-01-05,21
32.5,-117,1982-01-21,23
32.5,-117,1982-02-08,18
32.5,-117,1982-02-10,24
32.5,-117,1982-02-14,24
32.5,-117,1982-02-15,24
32.5,-117,1982-02-16,21
32.5,-117,1982-03-08,15
32.5,-117,1982-03-10,21
32.5,-117,1982-03-11,24
32.5,-117,1982-03-17,18
32.5,-117,1982-03-18,13
32.5,-117,1982-03-26,20
32.5,-117,1982-03-29,22
32.5,-117,1982-04-01,14
32.5,-117,1982-04-06,15
32.5,-117,1982-04-09,24
32.5,-117,1982-04-10,24
32.5,-117,1982-04-11,24
32.5,-117,1982-06-29,16
32.5,-117,1982-06-30,12
32.5,-117,1982-07-23,18
32.5,-117,1982-07-24,16
32.5,-117,1982-08-28,14
32.5,-117,1982-09-15,16
32.5,-117,1982-09-16,24
32.5,-117,1982-09-24,24
32.5,-117,1982-09-25,24
32.5,-117,1982-09-26,23
32.5,-117,1982-10-20,13
32.5,-117,1982-10-24,12
32.5,-117,1982-10-25,24
32.5,-117,1982-10-26,23
32.5,-117,1982-11-08,24
32.5,-117,1982-11-19,17
32.5,-117,1982-11-22,20
32.5,-117,1982-12-09,22
32.5,-117,1982-12-22,15
32.5,-117,1982-12-23,22
32.75,-117.25,1982-01-05,21
32.75,-117.25,1982-01-21,23
32.75,-117.25,1982-02-08,17
32.75,-117.25,1982-02-10,24
32.75,-117.25,1982-02-14,24
32.75,-117.25,1982-02-15,24
32.75,-117.25,1982-02-16,22
32.75,-117.25,1982-03-08,15
32.75,-117.25,1982-03-10,21
32.75,-117.25,1982-03-11,24
32.75,-117.25,1982-03-17,18
32.75,-117.25,1982-03-18,13
32.75,-117.25,1982-03-26,18
32.75,-117.25,1982-03-29,23
32.75,-117.25,1982-04-01,15
32.75,-117.25,1982-04-06,15
32.75,-117.25,1982-04-09,24
32.75,-117.25,1982-04-10,24
32.75,-117.25,1982-04-11,24
32.75,-117.25,1982-06-29,18
32.75,-117.25,1982-06-30,13
32.75,-117.25,1982-07-23,18
32.75,-117.25,1982-07-24,19
32.75,-117.25,1982-08-28,14
32.75,-117.25,1982-09-15,12
32.75,-117.25,1982-09-16,24
32.75,-117.25,1982-09-24,24
32.75,-117.25,1982-09-25,24
32.75,-117.25,1982-09-26,23
32.75,-117.25,1982-10-20,12
32.75,-117.25,1982-10-24,13
32.75,-117.25,1982-10-25,24
32.75,-117.25,1982-10-26,23
32.75,-117.25,1982-11-08,20
32.75,-117.25,1982-11-19,18
32.75,-117.25,1982-11-22,20
32.75,-117.25,1982-12-09,21
32.75,-117.25,1982-12-22,16
32.75,-117.25,1982-12-23,22
33,-117.25,1982-01-05,21
33,-117.25,1982-01-21,23
33,-117.25,1982-02-08,17
33,-117.25,1982-02-10,24
33,-117.25,1982-02-14,24
33,-117.25,1982-02-15,24
33,-117.25,1982-02-16,22
33,-117.25,1982-03-01,12
33,-117.25,1982-03-08,15
33,-117.25,1982-03-10,21
33,-117.25,1982-03-11,24
33,-117.25,1982-03-17,18
33,-117.25,1982-03-18,13
33,-117.25,1982-03-26,18
33,-117.25,1982-03-29,24
33,-117.25,1982-04-01,16
33,-117.25,1982-04-06,15
33,-117.25,1982-04-09,24
33,-117.25,1982-04-10,24
33,-117.25,1982-04-11,24
33,-117.25,1982-06-29,18
33,-117.25,1982-06-30,13
33,-117.25,1982-07-23,18
33,-117.25,1982-07-24,19
33,-117.25,1982-08-28,14
33,-117.25,1982-09-15,12
33,-117.25,1982-09-16,24
33,-117.25,1982-09-24,24
33,-117.25,1982-09-25,24
33,-117.25,1982-09-26,23
33,-117.25,1982-10-20,12
33,-117.25,1982-10-24,12
33,-117.25,1982-10-25,24
33,-117.25,1982-10-26,23
33,-117.25,1982-11-08,19
33,-117.25,1982-11-19,18
33,-117.25,1982-11-22,20
33,-117.25,1982-12-09,22
33,-117.25,1982-12-22,20
33,-117.25,1982-12-23,22
33.25,-117.5,1982-01-05,21
33.25,-117.5,1982-01-21,22
33.25,-117.5,1982-02-08,16
33.25,-117.5,1982-02-10,24
33.25,-117.5,1982-02-14,24
33.25,-117.5,1982-02-15,24
33.25,-117.5,1982-02-16,23
33.25,-117.5,1982-03-01,12
33.25,-117.5,1982-03-08,15
33.25,-117.5,1982-03-10,22
33.25,-117.5,1982-03-11,24
33.25,-117.5,1982-03-17,18
33.25,-117.5,1982-03-18,12
33.25,-117.5,1982-03-26,17
33.25,-117.5,1982-03-29,24
33.25,-117.5,1982-04-01,16
33.25,-117.5,1982-04-06,15
33.25,-117.5,1982-04-09,24
33.25,-117.5,1982-04-10,24
33.25,-117.5,1982-04-11,24
33.25,-117.5,1982-06-28,12
33.25,-117.5,1982-06-29,20
33.25,-117.5,1982-06-30,12
33.25,-117.5,1982-07-23,18
33.25,-117.5,1982-07-24,22
33.25,-117.5,1982-08-28,14
33.25,-117.5,1982-09-16,24
33.25,-117.5,1982-09-24,24
33.25,-117.5,1982-09-25,24
33.25,-117.5,1982-09-26,23
33.25,-117.5,1982-10-20,12
33.25,-117.5,1982-10-24,13
33.25,-117.5,1982-10-25,24
33.25,-117.5,1982-10-26,23
33.25,-117.5,1982-11-08,17
33.25,-117.5,1982-11-19,17
33.25,-117.5,1982-11-22,20
33.25,-117.5,1982-12-09,22
33.25,-117.5,1982-12-22,22
33.25,-117.5,1982-12-23,22
33.5,-117.75,1982-01-04,14
33.5,-117.75,1982-01-05,20
33.5,-117.75,1982-01-21,18
33.5,-117.75,1982-02-08,14
33.5,-117.75,1982-02-10,24
33.5,-117.75,1982-02-14,24
33.5,-117.75,1982-02-15,24
33.5,-117.75,1982-02-16,23
33.5,-117.75,1982-03-01,14
33.5,-117.75,1982-03-08,17
33.5,-117.75,1982-03-10,23
33.5,-117.75,1982-03-11,24
33.5,-117.75,1982-03-17,18
33.5,-117.75,1982-03-26,16
33.5,-117.75,1982-03-29,24
33.5,-117.75,1982-04-01,18
33.5,-117.75,1982-04-06,13
33.5,-117.75,1982-04-09,24
33.5,-117.75,1982-04-10,24
33.5,-117.75,1982-04-11,24
33.5,-117.75,1982-06-28,13
33.5,-117.75,1982-06-29,22
33.5,-117.75,1982-06-30,12
33.5,-117.75,1982-07-23,18
33.5,-117.75,1982-07-24,22
33.5,-117.75,1982-08-28,14
33.5,-117.75,1982-09-16,24
33.5,-117.75,1982-09-24,24
33.5,-117.75,1982-09-25,24
33.5,-117.75,1982-09-26,23
33.5,-117.75,1982-10-24,13
33.5,-117.75,1982-10-25,24
33.5,-117.75,1982-10-26,23
33.5,-117.75,1982-10-30,13
33.5,-117.75,1982-11-08,12
33.5,-117.75,1982-11-19,17
33.5,-117.75,1982-11-22,20
33.5,-117.75,1982-12-09,22
33.5,-117.75,1982-12-22,22
33.5,-117.75,1982-12-23,22
33.75,-118.25,1982-01-04,13
33.75,-118.25,1982-01-05,17
33.75,-118.25,1982-01-21,16
33.75,-118.25,1982-02-08,13
33.75,-118.25,1982-02-10,24
33.75,-118.25,1982-02-14,24
33.75,-118.25,1982-02-15,24
33.75,-118.25,1982-02-16,23
33.75,-118.25,1982-03-01,14
33.75,-118.25,1982-03-08,15
33.75,-118.25,1982-03-10,23
33.75,-118.25,1982-03-11,24
33.75,-118.25,1982-03-17,18
33.75,-118.25,1982-03-26,15
33.75,-118.25,1982-03-29,24
33.75,-118.25,1982-04-01,21
33.75,-118.25,1982-04-09,24
33.75,-118.25,1982-04-10,24
33.75,-118.25,1982-04-11,24
33.75,-118.25,1982-06-28,23
33.75,-118.25,1982-06-29,24
33.75,-118.25,1982-07-23,18
33.75,-118.25,1982-07-24,22
33.75,-118.25,1982-08-28,14
33.75,-118.25,1982-08-29,12
33.75,-118.25,1982-09-16,24
33.75,-118.25,1982-09-24,24
33.75,-118.25,1982-09-25,24
33.75,-118.25,1982-09-26,23
33.75,-118.25,1982-10-20,12
33.75,-118.25,1982-10-24,14
33.75,-118.25,1982-10-25,24
33.75,-118.25,1982-10-26,23
33.75,-118.25,1982-10-30,15
33.75,-118.25,1982-11-19,16
33.75,-118.25,1982-11-22,20
33.75,-118.25,1982-12-09,22
33.75,-118.25,1982-12-22,24
33.75,-118.25,1982-12-23,21
33.75,-118,1982-01-04,15
33.75,-118,1982-01-05,17
33.75,-118,1982-01-21,17
33.75,-118,1982-02-08,13
33.75,-118,1982-02-10,24
33.75,-118,1982-02-14,24
33.75,-118,1982-02-15,24
33.75,-118,1982-02-16,23
33.75,-118,1982-03-01,14
33.75,-118,1982-03-08,16
33.75,-118,1982-03-10,23
33.75,-118,1982-03-11,24
33.75,-118,1982-03-17,18
33.75,-118,1982-03-26,16
33.75,-118,1982-03-29,24
33.75,-118,1982-04-01,21
33.75,-118,1982-04-09,24
33.75,-118,1982-04-10,24
33.75,-118,1982-04-11,24
33.75,-118,1982-06-28,18
33.75,-118,1982-06-29,24
33.75,-118,1982-06-30,12
33.75,-118,1982-07-23,18
33.75,-118,1982-07-24,22
33.75,-118,1982-08-28,14
33.75,-118,1982-08-29,14
33.75,-118,1982-09-16,24
33.75,-118,1982-09-24,24
33.75,-118,1982-09-25,24
33.75,-118,1982-09-26,23
33.75,-118,1982-10-24,14
33.75,-118,1982-10-25,24
33.75,-118,1982-10-26,23
33.75,-118,1982-10-30,14
33.75,-118,1982-11-19,16
33.75,-118,1982-11-22,20
33.75,-118,1982-12-09,22
33.75,-118,1982-12-22,24
33.75,-118,1982-12-23,18
34,-119,1982-01-04,12
34,-119,1982-01-05,15
34,-119,1982-01-21,14
34,-119,1982-02-10,23
34,-119,1982-02-13,12
34,-119,1982-02-14,24
34,-119,1982-02-15,24
34,-119,1982-02-16,23
34,-119,1982-03-01,16
34,-119,1982-03-10,23
34,-119,1982-03-11,24
34,-119,1982-03-17,18
34,-119,1982-03-26,13
34,-119,1982-03-29,22
34,-119,1982-04-01,24
34,-119,1982-04-09,24
34,-119,1982-04-10,24
34,-119,1982-04-11,24
34,-119,1982-06-28,23
34,-119,1982-06-29,24
34,-119,1982-07-23,16
34,-119,1982-07-24,22
34,-119,1982-08-28,14
34,-119,1982-09-16,18
34,-119,1982-09-24,24
34,-119,1982-09-25,24
34,-119,1982-09-26,15
34,-119,1982-10-20,13
34,-119,1982-10-22,21
34,-119,1982-10-23,18
34,-119,1982-10-24,20
34,-119,1982-10-25,24
34,-119,1982-10-26,21
34,-119,1982-10-30,18
34,-119,1982-11-19,14
34,-119,1982-11-22,18
34,-119,1982-12-09,22
34,-119,1982-12-22,24
34,-119,1982-12-23,19
34,-118.75,1982-01-04,16
34,-118.75,1982-01-05,15
34,-118.75,1982-01-21,14
34,-118.75,1982-02-10,24
34,-118.75,1982-02-14,24
34,-118.75,1982-02-15,24
34,-118.75,1982-02-16,23
34,-118.75,1982-03-01,17
34,-118.75,1982-03-08,12
34,-118.75,1982-03-10,23
34,-118.75,1982-03-11,24
34,-118.75,1982-03-17,18
34,-118.75,1982-03-26,15
34,-118.75,1982-03-29,21
34,-118.75,1982-04-01,24
34,-118.75,1982-04-09,24
34,-118.75,1982-04-10,24
34,-118.75,1982-04-11,24
34,-118.75,1982-06-28,23
34,-118.75,1982-06-29,24
34,-118.75,1982-07-23,17
34,-118.75,1982-07-24,22
34,-118.75,1982-08-28,14
34,-118.75,1982-09-16,19
34,-118.75,1982-09-24,24
34,-118.75,1982-09-25,24
34,-118.75,1982-09-26,18
34,-118.75,1982-10-22,17
34,-118.75,1982-10-24,16
34,-118.75,1982-10-25,24
34,-118.75,1982-10-26,21
34,-118.75,1982-10-30,17
34,-118.75,1982-11-19,15
34,-118.75,1982-11-22,19
34,-118.75,1982-12-09,22
34,-118.75,1982-12-22,24
34,-118.75,1982-12-23,15
34,-118.5,1982-01-04,15
34,-118.5,1982-01-05,16
34,-118.5,1982-01-21,14
34,-118.5,1982-02-10,24
34,-118.5,1982-02-14,24
34,-118.5,1982-02-15,24
34,-118.5,1982-02-16,23
34,-118.5,1982-03-01,17
34,-118.5,1982-03-08,14
34,-118.5,1982-03-10,23
34,-118.5,1982-03-11,24
34,-118.5,1982-03-17,18
34,-118.5,1982-03-26,15
34,-118.5,1982-03-29,20
34,-118.5,1982-04-01,24
34,-118.5,1982-04-09,24
34,-118.5,1982-04-10,24
34,-118.5,1982-04-11,24
34,-118.5,1982-06-28,22
34,-118.5,1982-06-29,24
34,-118.5,1982-07-23,17
34,-118.5,1982-07-24,22
34,-118.5,1982-08-20,12
34,-118.5,1982-08-28,14
34,-118.5,1982-09-16,19
34,-118.5,1982-09-24,24
34,-118.5,1982-09-25,24
34,-118.5,1982-09-26,21
34,-118.5,1982-10-24,14
34,-118.5,1982-10-25,24
34,-118.5,1982-10-26,22
34,-118.5,1982-10-30,17
34,-118.5,1982-11-19,15
34,-118.5,1982-11-22,18
34,-118.5,1982-12-09,22
34,-118.5,1982-12-22,24
34,-118.5,1982-12-23,13
34.25,-119.25,1982-01-04,18
34.25,-119.25,1982-01-05,14
34.25,-119.25,1982-02-10,24
34.25,-119.25,1982-02-13,12
34.25,-119.25,1982-02-14,24
34.25,-119.25,1982-02-15,24
34.25,-119.25,1982-02-16,22
34.25,-119.25,1982-03-01,18
34.25,-119.25,1982-03-10,23
34.25,-119.25,1982-03-11,24
34.25,-119.25,1982-03-17,18
34.25,-119.25,1982-03-26,12
34.25,-119.25,1982-03-29,13
34.25,-119.25,1982-04-01,24
34.25,-119.25,1982-04-09,24
34.25,-119.25,1982-04-10,24
34.25,-119.25,1982-04-11,24
34.25,-119.25,1982-06-28,23
34.25,-119.25,1982-06-29,24
34.25,-119.25,1982-07-04,12
34.25,-119.25,1982-07-23,15
34.25,-119.25,1982-07-24,22
34.25,-119.25,1982-08-28,14
34.25,-119.25,1982-09-16,17
34.25,-119.25,1982-09-24,24
34.25,-119.25,1982-09-25,24
34.25,-119.25,1982-09-26,13
34.25,-119.25,1982-10-21,13
34.25,-119.25,1982-10-22,24
34.25,-119.25,1982-10-23,20
34.25,-119.25,1982-10-24,24
34.25,-119.25,1982-10-25,24
34.25,-119.25,1982-10-26,20
34.25,-119.25,1982-10-30,18
34.25,-119.25,1982-11-19,13
34.25,-119.25,1982-11-22,18
34.25,-119.25,1982-12-09,22
34.25,-119.25,1982-12-22,24
34.25,-119.25,1982-12-23,16
34.5,-120.5,1982-01-04,16
34.5,-120.5,1982-01-05,13
34.5,-120.5,1982-01-23,14
34.5,-120.5,1982-02-13,14
34.5,-120.5,1982-02-14,24
34.5,-120.5,1982-02-15,24
34.5,-120.5,1982-02-16,19
34.5,-120.5,1982-02-19,16
34.5,-120.5,1982-03-01,19
34.5,-120.5,1982-03-10,23
34.5,-120.5,1982-03-11,23
34.5,-120.5,1982-04-01,15
